"";"Não completou EF";"Ensino Fundamental";"Ensino Médio";"Ensino Superior";"Sum"
"Candidato 2";11,5;9,3;22,2;9,3;52,3
"Candidato 1";1,4;0,4;1,4;1;4,2
"Candidato 8";0,1;0,3;1,1;1,1;2,6
"Candidato 5";0;0,2;1,3;1;2,5
"Candidato 10";0,3;0,4;1,1;0,2;2
"Candidato 9";0,3;0,6;0,8;0,2;1,9
"Candidato 3";0,4;0,1;0,8;0,3;1,6
"Candidato 4";0,3;0;0,5;0,4;1,2
"Candidato 6";0,1;0,2;0,5;0,2;1
"Candidato 7";0,2;0,1;0,3;0,1;0,7
"Candidato 12";0,2;0,1;0,1;0,2;0,6
"Candidato 14";0;0,3;0,1;0,2;0,6
"Candidato 11";0,1;0;0,1;0,1;0,3
"Candidato 13";0;0,1;0,2;0;0,3
"Ninguém/Branco/Nulo";2,4;2,5;7,4;1,9;14,2
"NS/NR";2,8;2,7;5,2;3,3;14
"Sum";20,1;17,3;43,1;19,5;100
