"";"voto1";"idade";"sexo";"Freq"
"1";"Candidato 2";"de 16 a 24";"Feminino";9,5
"2";"Candidato 1";"de 16 a 24";"Feminino";0
"3";"Candidato 8";"de 16 a 24";"Feminino";7,1
"4";"Candidato 5";"de 16 a 24";"Feminino";14,3
"5";"Candidato 10";"de 16 a 24";"Feminino";21,4
"6";"Candidato 9";"de 16 a 24";"Feminino";14,3
"7";"Candidato 3";"de 16 a 24";"Feminino";11,1
"8";"Candidato 4";"de 16 a 24";"Feminino";0
"9";"Candidato 6";"de 16 a 24";"Feminino";14,3
"10";"Candidato 7";"de 16 a 24";"Feminino";33,3
"11";"Candidato 12";"de 16 a 24";"Feminino";0
"12";"Candidato 14";"de 16 a 24";"Feminino";33,3
"13";"Candidato 11";"de 16 a 24";"Feminino";0
"14";"Candidato 13";"de 16 a 24";"Feminino";0
"15";"Ninguém/Branco/Nulo";"de 16 a 24";"Feminino";18,1
"16";"NS/NR";"de 16 a 24";"Feminino";18,1
"17";"Candidato 2";"de 25 a 34";"Feminino";19,3
"18";"Candidato 1";"de 25 a 34";"Feminino";27,3
"19";"Candidato 8";"de 25 a 34";"Feminino";21,4
"20";"Candidato 5";"de 25 a 34";"Feminino";21,4
"21";"Candidato 10";"de 25 a 34";"Feminino";28,6
"22";"Candidato 9";"de 25 a 34";"Feminino";42,9
"23";"Candidato 3";"de 25 a 34";"Feminino";11,1
"24";"Candidato 4";"de 25 a 34";"Feminino";0
"25";"Candidato 6";"de 25 a 34";"Feminino";28,6
"26";"Candidato 7";"de 25 a 34";"Feminino";33,3
"27";"Candidato 12";"de 25 a 34";"Feminino";33,3
"28";"Candidato 14";"de 25 a 34";"Feminino";33,3
"29";"Candidato 11";"de 25 a 34";"Feminino";0
"30";"Candidato 13";"de 25 a 34";"Feminino";0
"31";"Ninguém/Branco/Nulo";"de 25 a 34";"Feminino";19,4
"32";"NS/NR";"de 25 a 34";"Feminino";8,4
"33";"Candidato 2";"de 35 a 44";"Feminino";20
"34";"Candidato 1";"de 35 a 44";"Feminino";18,2
"35";"Candidato 8";"de 35 a 44";"Feminino";7,1
"36";"Candidato 5";"de 35 a 44";"Feminino";42,9
"37";"Candidato 10";"de 35 a 44";"Feminino";21,4
"38";"Candidato 9";"de 35 a 44";"Feminino";14,3
"39";"Candidato 3";"de 35 a 44";"Feminino";22,2
"40";"Candidato 4";"de 35 a 44";"Feminino";0
"41";"Candidato 6";"de 35 a 44";"Feminino";28,6
"42";"Candidato 7";"de 35 a 44";"Feminino";0
"43";"Candidato 12";"de 35 a 44";"Feminino";0
"44";"Candidato 14";"de 35 a 44";"Feminino";33,3
"45";"Candidato 11";"de 35 a 44";"Feminino";0
"46";"Candidato 13";"de 35 a 44";"Feminino";0
"47";"Ninguém/Branco/Nulo";"de 35 a 44";"Feminino";23,6
"48";"NS/NR";"de 35 a 44";"Feminino";22,9
"49";"Candidato 2";"de 45 a 59";"Feminino";26,8
"50";"Candidato 1";"de 45 a 59";"Feminino";18,2
"51";"Candidato 8";"de 45 a 59";"Feminino";42,9
"52";"Candidato 5";"de 45 a 59";"Feminino";21,4
"53";"Candidato 10";"de 45 a 59";"Feminino";14,3
